5x7	5x7	5x7
6x9	6x9	6x9
Banner	banner	banner
Big	big	big
Block	block	block
Bubble	bubble	bubble
chartr	chartr	chartr
chartri	chartri	chartri
clb6x10	clb6x10	clb6x10
clb8x10	clb8x10	clb8x10
clb8x8	clb8x8	clb8x8
cli8x8	cli8x8	cli8x8
clr4x6	clr4x6	clr4x6
clr5x10	clr5x10	clr5x10
clr5x6	clr5x6	clr5x6
clr5x8	clr5x8	clr5x8
clr6x10	clr6x10	clr6x10
clr6x6	clr6x6	clr6x6
clr6x8	clr6x8	clr6x8
clr7x10	clr7x10	clr7x10
clr7x8	clr7x8	clr7x8
clr8x10	clr8x10	clr8x10
clr8x8	clr8x8	clr8x8
digital	digital	digital
ivrit	ivrit	ivrit
lean	lean	lean
mini	mini	mini
script	script	script
shadow	shadow	shadow
slant	slant	slant
small	small	small
Small Script	small-script	smscript
Standard	standard	standard
xchartr	xchartr	xchartr
xchartri	xchartri	xchartri
